"Company","Industry","State","Metro","URL"
"Atlanta Investing","Real Estate","Georgia",,"http://www.inc.com/profile/atlanta-investing"
"Virpie","IT Services","Connecticut","New Haven-Milford","http://www.inc.com/profile/virpie"
"Northpointe Personnel","Human Resources","New Jersey",,"http://www.inc.com/profile/northpointe-personnel"
"Big Fish Games","Media","Washington","Seattle","http://www.inc.com/profile/big-fish-games"
"FunMobility","Software","California",,"http://www.inc.com/profile/funmobility"
"Wastren Advantage","Environmental Services","Ohio","Athens-Clarke","http://www.inc.com/profile/wastren-advantage"
"LawCrossing","Human Resources","California",,"http://www.inc.com/profile/lawcrossing"
"TCMPI","Retail","Rhode Island",,"http://www.inc.com/profile/tcmpi"
"VectorCSP","Government Services","North Carolina","Elizabeth City","http://www.inc.com/profile/vectorcsp"
"Oberon Associates","IT Services","Virginia",,"http://www.inc.com/profile/oberon-associates"
"International Solutions Group","IT Services","Virginia","Washington","http://www.inc.com/profile/international-solutions-group"
"Your Best Rate Financial","Financial Services","Georgia",,"http://www.inc.com/profile/your-best-rate-financial"
"Alliance Plastics","Manufacturing","South Carolina","Charlotte","http://www.inc.com/profile/alliance-plastics"
"Intrepid Learning Solutions","Business Services","Washington",,"http://www.inc.com/profile/intrepid-learning-solutions"
"Evolv Solutions","Business Products & Services","Kansas","Kansas City","http://www.inc.com/profile/evolv-solutions"
"Unbounded Solutions","IT Services","Georgia","Atlanta","http://www.inc.com/profile/unbounded-solutions"
"Massage Envy Spa","Consumer Products & Services","Arizona","Phoenix","http://www.inc.com/profile/massage-envy-spa"
"Astadia Consulting","Software","Georgia",,"http://www.inc.com/profile/astadia-consulting"
"Korvis","Manufacturing","Oregon","Corvallis","http://www.inc.com/profile/korvis"
"Higher One Holdings","Financial Services","Connecticut","New Haven-Milford","http://www.inc.com/profile/higher-one-holdings"
"Talent Connections","Human Resources","Georgia",,"http://www.inc.com/profile/talent-connections"
"Insitu","Government Services","Washington",,"http://www.inc.com/profile/insitu"
"Sonicbids","Media","Massachusetts",,"http://www.inc.com/profile/sonicbids"
"ESET","Security","California","San Diego","http://www.inc.com/profile/eset"
"Trancos","Advertising & Marketing","California","San Francisco","http://www.inc.com/profile/trancos"
"National Safety Commission","Education","Florida",,"http://www.inc.com/profile/national-safety-commission"
"Vibes Media","Advertising & Marketing","Illinois","Chicago","http://www.inc.com/profile/vibes-media"
"Rome Corp.","Software","Texas",,"http://www.inc.com/profile/rome-corp"
"Industriaplex","Business Services","Georgia",,"http://www.inc.com/profile/industriaplex"
"SolutionSet","IT Services","California","San Jose","http://www.inc.com/profile/solutionset"
"Veterans United Home Loans","Financial Services","Missouri","Columbia","http://www.inc.com/profile/veterans-united-home-loans"
"Xsell Resources","Human Resources","Pennsylvania",,"http://www.inc.com/profile/xsell-resources"
"Rizzo Consulting","Telecommunications","Illinois","Chicago","http://www.inc.com/profile/rizzo-consulting"
"Alpha Card Services","Financial Services","Pennsylvania","Philadelphia","http://www.inc.com/profile/alpha-card-services"
"Mercom","Government Services","South Carolina","Georgetown","http://www.inc.com/profile/mercom"
"Solekai Systems","Computers & Electronics","California",,"http://www.inc.com/profile/solekai-systems"
"InnoPath Software","Telecommunications","California",,"http://www.inc.com/profile/innopath-software"
"SocialWellth","Health","Nevada","Las Vegas-Paradise","http://www.inc.com/profile/socialwellth"
"Environmental Services of North America","Environmental Services","Michigan",,"http://www.inc.com/profile/environmental-services-of-north-america"
"Norvax","Software","Illinois",,"http://www.inc.com/profile/norvax"
"Red F Marketing","Advertising & Marketing","North Carolina","Charlotte","http://www.inc.com/profile/red-f-marketing"
