"iSend","4441%","$105.7m","Financial Services","Connecticut","New Haven-Milford CT",15,
"BidPal","4323%","$10.2m","Business Products & Services","Indiana","Indianapolis IN",88,
"Equinox Business Solutions","4235%","$82.5m","Business Products & Services","Utah","Salt Lake City",140,
"Dito","4200%","$4.5m","IT Services","Virginia","Washington DC",30,
"Janes Capital Partners","4054%","$7.4m","Financial Services","California","Los Angeles",10,
"Restore Health","4039%","$4.8m","Health","Wisconsin","Madison WI",45,
"Matt Martin Real Estate Management","3982%","$31.7m","Real Estate","Texas","Dallas",114,
"Celerity Ventures","3960%","$15.8m","Real Estate","Virginia","Washington DC",7,
"ASE Direct","3924%","$26.1m","Government Services","Tennessee","Nashville",17,
"Evolving Wisdom","3924%","$6.7m","Education","California","San Francisco",29,
"Next Step Living","3890%","$29.4m","Energy","Massachusetts","Boston",502,
"Vital Farms","3878%","$9.6m","Food & Beverage","Texas","Austin",30,
"C-DM Network","3855%","$5.4m","Construction","Texas","Dallas",19,
"SalesStaff","3833%","$4m","Business Products & Services","Texas","Houston",60,
"WellDog","3758%","$8m","Energy","Wyoming","Laramie WY",42,
"SKM Media Group","3752%","$12m","Advertising & Marketing","Florida","Miami",20,
"Spoken Communications","3734%","$10.1m","Telecommunications","Washington","Seattle",37,
"Sol Systems","3716%","$9.1m","Financial Services","District of Columbia","Washington DC",16,
"Build Group","3591%","$101.5m","Construction","California","San Francisco",158,
"Alex and Ani","3569%","$79.8m","Retail","Rhode Island","Providence-New Bedford-Fall River RI-MA",330,
"Onsite Occupational Health & Safety","3568%","$33.2m","Health","Indiana","Evansville IN-KY",253,
"CoverMyMeds","3567%","$5.3m","Health","Ohio","Akron OH",35,
"Discovery Services","3508%","$16.6m","Business Products & Services","Illinois","Chicago",307,
"VRx","3479%","$72.3m","Health","Utah","Salt Lake City",67,
"Marketplace Homes","3473%","$19.3m","Real Estate","Michigan","Detroit",73,
"Centerplan Construction","3463%","$56.3m","Construction","Connecticut","Hartford-West Hartford-East Hartford CT",43,
"BlueSquare Resolutions","3458%","$14.3m","Financial Services","Arizona","Phoenix",14,
"The Logistics Store","3450%","$7.1m","Logistics & Transportation","Missouri","Kansas City MO-KS",11,
"CashStar","3414%","$9.6m","Software","Maine","Portland-South Portland-Biddeford ME",96,
"Webimax","3367%","$8.3m","Advertising & Marketing","New Jersey","Philadelphia",125,
"Touchsuite","3338%","$13.4m","Software","Florida","Miami",43,
"Akvarr","3310%","$5.1m","IT Services","Virginia","Washington DC",65,
"Analytic Strategies","3306%","$5.4m","Government Services","Virginia","Washington DC",33,
"Apartment List","3191%","$10.2m","Real Estate","California","San Francisco",32,
"Acquia","3131%","$45.4m","Software","Massachusetts","Boston",263,
"Axcient","3116%","$9.7m","Security","California","San Jose",107,
"Datto","3101%","$25.1m","Security","Connecticut","Bridgeport-Stamford-Norwalk CT",125,
"Command Post Technologies","3095%","$7.1m","Government Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",31,
"Sustainable Supply","3061%","$3.2m","Retail","Colorado","Denver",7,
"Oceanhouse Media","3055%","$3.8m","Software","California","San Diego",10,
"Rapier Solutions","3051%","$6.2m","IT Services","North Carolina","Charlotte",51,
"Econohomes","3041%","$42.7m","Real Estate","Texas","Austin",73,
"Green Box Foods","3020%","$251.1m","Food & Beverage","Georgia","Atlanta",221,
"BMA","2998%","$8.9m","Government Services","Kansas","Kansas City MO-KS",75,
"Dashed","2984%","$4.6m","Food & Beverage","Massachusetts","Boston",92,
"Puppet Labs","2975%","$8.8m","Software","Oregon","Portland OR",175,
"Orgain","2971%","$8.9m","Food & Beverage","California","Los Angeles",6,
"US Perishables","2965%","$4m","Logistics & Transportation","California","San Francisco",10,
"Asentra","2963%","$12.1m","Advertising & Marketing","Connecticut","Bridgeport-Stamford-Norwalk CT",24,
"Quantum Networks","2944%","$11.4m","Consumer Products & Services","New York","New York City",28,
"FuzeBox","2933%","$8.7m","Business Products & Services","California","San Francisco",132,
"Renegade Furniture Group","2926%","$9.8m","Retail","New York","New York City",17,
"etailz","2898%","$13m","Retail","Washington","Spokane-Spokane Valley WA",56,
"Target Freight Management","2896%","$23.9m","Logistics & Transportation","Pennsylvania","Pittsburgh PA",24,
"Maestro Technologies","2832%","$5.1m","IT Services","New Jersey","New York City",66,
"Advice Interactive Group","2808%","$3.1m","Advertising & Marketing","Texas","Dallas",31,
"Netcom3 Global","2773%","$23.6m","Software","California","Los Angeles",12,
"Buy Happier","2772%","$20.5m","Retail","Illinois","Chicago",32,
"The Millennium Group International","2758%","$4.5m","Government Services","Virginia","Washington DC",25,
"Viderity","2741%","$10.6m","Government Services","District of Columbia","Washington DC",28,
"I.T. Source","2738%","$84.5m","IT Services","California","Los Angeles",34,
"Videology","2727%","$137.5m","Advertising & Marketing","Maryland","Baltimore",321,
"STAR Collaborative","2696%","$13.9m","Human Resources","Minnesota","Minneapolis",5,
"All Around","2687%","$10.8m","Construction","Minnesota","Minneapolis",15,
"Populus","2685%","$3m","Energy","Colorado","Boulder CO",30,
"Astrum Solar","2665%","$41m","Energy","Maryland","Baltimore",200,
"StartFinder","2659%","$2.7m","Human Resources","Maryland","Washington DC",29,
"Cloud Sherpas","2633%","$75.3m","IT Services","Georgia","Atlanta",304,
"Apex Resources","2625%","$22.8m","Manufacturing","Texas","Houston",3,
"RMGS","2599%","$3.8m","Government Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",23,
"Finch","2593%","$2.8m","Software","Utah","Provo-Orem UT",6,
"Dhaliwal Labs","2588%","$8.3m","Manufacturing","Texas","Dallas",49,
